source_sheet,source_cells,target_sheet,target_cell
전체 점수,F9,Sheet2,B2
전체 점수,F11,Sheet2,B3
전체 점수,F12,Sheet2,B4
전체 점수,F16,Sheet2,B5
전체 점수,F17,Sheet2,B6
전체 점수,F18,Sheet2,B7
전체 점수,F19,Sheet2,B8
전체 점수,F5,Sheet2,B11
전체 점수,F6,Sheet2,B12
전체 점수,F7,Sheet2,B13
전체 점수,F12,Sheet2,B14
전체 점수,F11,Sheet2,B17
전체 점수,F8,Sheet2,B20
전체 점수,F9,Sheet2,B21
전체 점수,F16,Sheet2,B24
전체 점수,F18,Sheet2,B25
전체 점수,I36,Sheet1,B3
전체 점수,I37,Sheet1,B8
전체 점수,I38,Sheet1,B13
전체 점수,I39,Sheet1,B18
전체 점수,I40,Sheet1,B23
전체 점수,J36,Sheet1,B4
전체 점수,J37,Sheet1,B9
전체 점수,J38,Sheet1,B14
전체 점수,J39,Sheet1,B19
전체 점수,J40,Sheet1,B24
