source_sheet,source_cells,target_sheet,target_cell
전체 점수,I9,Sheet2,B2
전체 점수,I11,Sheet2,B3
전체 점수,I12,Sheet2,B4
전체 점수,I16,Sheet2,B5
전체 점수,I17,Sheet2,B6
전체 점수,I18,Sheet2,B7
전체 점수,I19,Sheet2,B8
전체 점수,I5,Sheet2,B11
전체 점수,I6,Sheet2,B12
전체 점수,I7,Sheet2,B13
전체 점수,I12,Sheet2,B14
전체 점수,I11,Sheet2,B17
전체 점수,I8,Sheet2,B20
전체 점수,I9,Sheet2,B21
전체 점수,I16,Sheet2,B24
전체 점수,I18,Sheet2,B25
전체 점수,M36,Sheet1,B3
전체 점수,M37,Sheet1,B8
전체 점수,M38,Sheet1,B13
전체 점수,M39,Sheet1,B18
전체 점수,M40,Sheet1,B23
전체 점수,N36,Sheet1,B4
전체 점수,N37,Sheet1,B9
전체 점수,N38,Sheet1,B14
전체 점수,N39,Sheet1,B19
전체 점수,N40,Sheet1,B24
